sample_id;claim_id;question;answer;context_text;claim_text;seed_label;annotator_label;annotator_1_label;annotator_2_label;evidence_doc_id;evidence_start;evidence_end;evidence_text;notes
pt_br_abl_abstain_needed_004;pt_br_abl_abstain_needed_004_c1;Qual detalhe ausente o contexto informa sobre A Academia Brasileira de Letras?;A Academia Brasileira de Letras possui um detalhe ausente confirmado pelo contexto.;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Academia Brasileira de Letras possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_amazonas_abstain_needed_002;pt_br_amazonas_abstain_needed_002_c1;Qual detalhe ausente o contexto informa sobre O Rio Amazonas?;O Rio Amazonas possui um detalhe ausente confirmado pelo contexto.;O Rio Amazonas atravessa a regiao norte do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Rio Amazonas possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_amazonia_abstain_needed_015;pt_br_amazonia_abstain_needed_015_c1;Qual detalhe ausente o contexto informa sobre A Amazonia?;A Amazonia possui um detalhe ausente confirmado pelo contexto.;A Amazonia abrange uma grande area de floresta tropical. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Amazonia possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_brasilia_abstain_needed_001;pt_br_brasilia_abstain_needed_001_c1;Qual detalhe ausente o contexto informa sobre Brasilia?;Brasilia possui um detalhe ausente confirmado pelo contexto.;Brasilia foi inaugurada como capital do Brasil em 1960. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Brasilia possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_cafe_abstain_needed_010;pt_br_cafe_abstain_needed_010_c1;Qual detalhe ausente o contexto informa sobre O cafe?;O cafe possui um detalhe ausente confirmado pelo contexto.;O cafe foi um produto importante na economia brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O cafe possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_capoeira_abstain_needed_016;pt_br_capoeira_abstain_needed_016_c1;Qual detalhe ausente o contexto informa sobre A capoeira?;A capoeira possui um detalhe ausente confirmado pelo contexto.;A capoeira combina elementos de luta, jogo e musica. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A capoeira possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_constitucao_abstain_needed_005;pt_br_constitucao_abstain_needed_005_c1;Qual detalhe ausente o contexto informa sobre A Constituicao de 1988?;A Constituicao de 1988 possui um detalhe ausente confirmado pelo contexto.;A Constituicao de 1988 e conhecida como Constituicao Cidada. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Constituicao de 1988 possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_dom_casmurro_abstain_needed_003;pt_br_dom_casmurro_abstain_needed_003_c1;Qual detalhe ausente o contexto informa sobre Dom Casmurro?;Dom Casmurro possui um detalhe ausente confirmado pelo contexto.;Dom Casmurro e um romance de Machado de Assis. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Dom Casmurro possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_ibge_abstain_needed_006;pt_br_ibge_abstain_needed_006_c1;Qual detalhe ausente o contexto informa sobre O IBGE?;O IBGE possui um detalhe ausente confirmado pelo contexto.;O IBGE produz estatisticas oficiais sobre a populacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O IBGE possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_independencia_abstain_needed_013;pt_br_independencia_abstain_needed_013_c1;Qual detalhe ausente o contexto informa sobre A independencia do Brasil?;A independencia do Brasil possui um detalhe ausente confirmado pelo contexto.;A independencia do Brasil foi proclamada em 1822. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A independencia do Brasil possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
