sample_id,claim_id,claim_text,seed_label,annotator_1_label,annotator_2_label,adjudicated_label,final_label,final_label_source,notes
pt_br_abl_abstain_needed_004,pt_br_abl_abstain_needed_004_c1,A Academia Brasileira de Letras possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_abl_contradicted_004,pt_br_abl_contradicted_004_c1,A Academia Brasileira de Letras foi criada em Lisboa,contradicted,unsupported,contradicted,unsupported,unsupported,human_adjudication,
pt_br_abl_fully_supported_004,pt_br_abl_fully_supported_004_c1,A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis,supported,supported,supported,,supported,human_agreement,
pt_br_abl_partially_unsupported_004,pt_br_abl_partially_unsupported_004_c1,A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis,supported,supported,supported,,supported,human_agreement,
pt_br_abl_partially_unsupported_004,pt_br_abl_partially_unsupported_004_c2,A Academia Brasileira de Letras possui sede em Buenos Aires,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_amazonas_abstain_needed_002,pt_br_amazonas_abstain_needed_002_c1,O Rio Amazonas possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_amazonas_contradicted_002,pt_br_amazonas_contradicted_002_c1,O Rio Amazonas desagua no Oceano Pacifico,contradicted,unsupported,unsupported,,unsupported,human_agreement,
pt_br_amazonas_fully_supported_002,pt_br_amazonas_fully_supported_002_c1,O Rio Amazonas atravessa a regiao norte do Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_amazonas_partially_unsupported_002,pt_br_amazonas_partially_unsupported_002_c1,O Rio Amazonas atravessa a regiao norte do Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_amazonas_partially_unsupported_002,pt_br_amazonas_partially_unsupported_002_c2,O Rio Amazonas tem exatamente 9.100 quilometros,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_amazonia_abstain_needed_015,pt_br_amazonia_abstain_needed_015_c1,A Amazonia possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_amazonia_contradicted_015,pt_br_amazonia_contradicted_015_c1,A Amazonia e composta apenas por gelo,contradicted,contradicted,unsupported,contradicted,contradicted,human_adjudication,
pt_br_amazonia_fully_supported_015,pt_br_amazonia_fully_supported_015_c1,A Amazonia abrange uma grande area de floresta tropical,supported,supported,supported,,supported,human_agreement,
pt_br_amazonia_partially_unsupported_015,pt_br_amazonia_partially_unsupported_015_c1,A Amazonia abrange uma grande area de floresta tropical,supported,supported,supported,,supported,human_agreement,
pt_br_amazonia_partially_unsupported_015,pt_br_amazonia_partially_unsupported_015_c2,A Amazonia fica somente no Rio Grande do Sul,unsupported,unsupported,contradicted,contradicted,contradicted,human_adjudication,
pt_br_brasilia_abstain_needed_001,pt_br_brasilia_abstain_needed_001_c1,Brasilia possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_brasilia_contradicted_001,pt_br_brasilia_contradicted_001_c1,Brasilia foi inaugurada em 1889,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_brasilia_fully_supported_001,pt_br_brasilia_fully_supported_001_c1,Brasilia foi inaugurada como capital do Brasil em 1960,supported,supported,supported,,supported,human_agreement,
pt_br_brasilia_partially_unsupported_001,pt_br_brasilia_partially_unsupported_001_c1,Brasilia foi inaugurada como capital do Brasil em 1960,supported,supported,supported,,supported,human_agreement,
pt_br_brasilia_partially_unsupported_001,pt_br_brasilia_partially_unsupported_001_c2,Brasilia e a maior cidade do Brasil,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_cafe_abstain_needed_010,pt_br_cafe_abstain_needed_010_c1,O cafe possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_cafe_contradicted_010,pt_br_cafe_contradicted_010_c1,O cafe foi proibido no Brasil em 1822,contradicted,unsupported,contradicted,unsupported,unsupported,human_adjudication,
pt_br_cafe_fully_supported_010,pt_br_cafe_fully_supported_010_c1,O cafe foi um produto importante na economia brasileira,supported,supported,supported,,supported,human_agreement,
pt_br_cafe_partially_unsupported_010,pt_br_cafe_partially_unsupported_010_c1,O cafe foi um produto importante na economia brasileira,supported,supported,supported,,supported,human_agreement,
pt_br_cafe_partially_unsupported_010,pt_br_cafe_partially_unsupported_010_c2,O cafe originou-se em Marte,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_capoeira_abstain_needed_016,pt_br_capoeira_abstain_needed_016_c1,A capoeira possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_capoeira_contradicted_016,pt_br_capoeira_contradicted_016_c1,A capoeira e uma linguagem de programacao,contradicted,unsupported,contradicted,contradicted,contradicted,human_adjudication,
pt_br_capoeira_fully_supported_016,pt_br_capoeira_fully_supported_016_c1,"A capoeira combina elementos de luta, jogo e musica",supported,supported,supported,,supported,human_agreement,
pt_br_capoeira_partially_unsupported_016,pt_br_capoeira_partially_unsupported_016_c1,"A capoeira combina elementos de luta, jogo e musica",supported,supported,supported,,supported,human_agreement,
pt_br_capoeira_partially_unsupported_016,pt_br_capoeira_partially_unsupported_016_c2,A capoeira foi criada por satelites,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_constitucao_abstain_needed_005,pt_br_constitucao_abstain_needed_005_c1,A Constituicao de 1988 possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_constitucao_contradicted_005,pt_br_constitucao_contradicted_005_c1,A Constituicao de 1988 foi promulgada em 1964,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_constitucao_fully_supported_005,pt_br_constitucao_fully_supported_005_c1,A Constituicao de 1988 e conhecida como Constituicao Cidada,supported,supported,supported,,supported,human_agreement,
pt_br_constitucao_partially_unsupported_005,pt_br_constitucao_partially_unsupported_005_c1,A Constituicao de 1988 e conhecida como Constituicao Cidada,supported,supported,supported,,supported,human_agreement,
pt_br_constitucao_partially_unsupported_005,pt_br_constitucao_partially_unsupported_005_c2,A Constituicao de 1988 aboliu todos os municipios,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_dom_casmurro_abstain_needed_003,pt_br_dom_casmurro_abstain_needed_003_c1,Dom Casmurro possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_dom_casmurro_contradicted_003,pt_br_dom_casmurro_contradicted_003_c1,Dom Casmurro foi escrito por Jose de Alencar,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_dom_casmurro_fully_supported_003,pt_br_dom_casmurro_fully_supported_003_c1,Dom Casmurro e um romance de Machado de Assis,supported,supported,supported,,supported,human_agreement,
pt_br_dom_casmurro_partially_unsupported_003,pt_br_dom_casmurro_partially_unsupported_003_c1,Dom Casmurro e um romance de Machado de Assis,supported,supported,supported,,supported,human_agreement,
pt_br_dom_casmurro_partially_unsupported_003,pt_br_dom_casmurro_partially_unsupported_003_c2,Dom Casmurro ganhou o Premio Nobel,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_ibge_abstain_needed_006,pt_br_ibge_abstain_needed_006_c1,O IBGE possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_ibge_contradicted_006,pt_br_ibge_contradicted_006_c1,O IBGE e uma universidade privada,contradicted,unsupported,contradicted,contradicted,contradicted,human_adjudication,
pt_br_ibge_fully_supported_006,pt_br_ibge_fully_supported_006_c1,O IBGE produz estatisticas oficiais sobre a populacao brasileira,supported,supported,supported,,supported,human_agreement,
pt_br_ibge_partially_unsupported_006,pt_br_ibge_partially_unsupported_006_c1,O IBGE produz estatisticas oficiais sobre a populacao brasileira,supported,supported,supported,,supported,human_agreement,
pt_br_ibge_partially_unsupported_006,pt_br_ibge_partially_unsupported_006_c2,O IBGE publica previsoes astrologicas,unsupported,unsupported,contradicted,contradicted,contradicted,human_adjudication,
pt_br_independencia_abstain_needed_013,pt_br_independencia_abstain_needed_013_c1,A independencia do Brasil possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_independencia_contradicted_013,pt_br_independencia_contradicted_013_c1,A independencia do Brasil foi proclamada em 1500,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_independencia_fully_supported_013,pt_br_independencia_fully_supported_013_c1,A independencia do Brasil foi proclamada em 1822,supported,supported,supported,,supported,human_agreement,
pt_br_independencia_partially_unsupported_013,pt_br_independencia_partially_unsupported_013_c1,A independencia do Brasil foi proclamada em 1822,supported,supported,supported,,supported,human_agreement,
pt_br_independencia_partially_unsupported_013,pt_br_independencia_partially_unsupported_013_c2,A independencia do Brasil ocorreu na Antartida,unsupported,unsupported,contradicted,unsupported,unsupported,human_adjudication,
pt_br_machado_abstain_needed_000,pt_br_machado_abstain_needed_000_c1,Machado de Assis possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_machado_contradicted_000,pt_br_machado_contradicted_000_c1,Machado de Assis fundou a NASA em 1958,contradicted,unsupported,unsupported,,unsupported,human_agreement,
pt_br_machado_fully_supported_000,pt_br_machado_fully_supported_000_c1,Machado de Assis foi o primeiro presidente da Academia Brasileira de Letras,supported,supported,supported,,supported,human_agreement,
pt_br_machado_partially_unsupported_000,pt_br_machado_partially_unsupported_000_c1,Machado de Assis foi o primeiro presidente da Academia Brasileira de Letras,supported,supported,supported,,supported,human_agreement,
pt_br_machado_partially_unsupported_000,pt_br_machado_partially_unsupported_000_c2,Machado de Assis nasceu em Recife,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_minas_abstain_needed_007,pt_br_minas_abstain_needed_007_c1,Minas Gerais possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_minas_contradicted_007,pt_br_minas_contradicted_007_c1,Minas Gerais fica na regiao Norte,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_minas_fully_supported_007,pt_br_minas_fully_supported_007_c1,Minas Gerais e um estado da regiao Sudeste do Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_minas_partially_unsupported_007,pt_br_minas_partially_unsupported_007_c1,Minas Gerais e um estado da regiao Sudeste do Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_minas_partially_unsupported_007,pt_br_minas_partially_unsupported_007_c2,Minas Gerais faz fronteira com o Chile,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_pantanal_abstain_needed_011,pt_br_pantanal_abstain_needed_011_c1,O Pantanal possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_pantanal_contradicted_011,pt_br_pantanal_contradicted_011_c1,O Pantanal e um deserto polar,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_pantanal_fully_supported_011,pt_br_pantanal_fully_supported_011_c1,O Pantanal e uma das maiores areas umidas do mundo,supported,supported,supported,,supported,human_agreement,
pt_br_pantanal_partially_unsupported_011,pt_br_pantanal_partially_unsupported_011_c1,O Pantanal e uma das maiores areas umidas do mundo,supported,supported,supported,,supported,human_agreement,
