sample_id;claim_id;claim_text;context_text;seed_label;annotator_1_label;annotator_2_label;adjudicated_label;notes
pt_br_abl_contradicted_004;pt_br_abl_contradicted_004_c1;A Academia Brasileira de Letras foi criada em Lisboa;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;contradicted;unsupported;contradicted;unsupported;
pt_br_amazonia_contradicted_015;pt_br_amazonia_contradicted_015_c1;A Amazonia e composta apenas por gelo;A Amazonia abrange uma grande area de floresta tropical. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;contradicted;contradicted;unsupported;contradicted;
pt_br_cafe_contradicted_010;pt_br_cafe_contradicted_010_c1;O cafe foi proibido no Brasil em 1822;O cafe foi um produto importante na economia brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;contradicted;unsupported;contradicted;unsupported;
pt_br_capoeira_contradicted_016;pt_br_capoeira_contradicted_016_c1;A capoeira e uma linguagem de programacao;A capoeira combina elementos de luta, jogo e musica. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;contradicted;unsupported;contradicted;contradicted;
pt_br_ibge_contradicted_006;pt_br_ibge_contradicted_006_c1;O IBGE e uma universidade privada;O IBGE produz estatisticas oficiais sobre a populacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;contradicted;unsupported;contradicted;contradicted;
pt_br_santos_dumont_contradicted_009;pt_br_santos_dumont_contradicted_009_c1;Santos Dumont foi imperador do Brasil;Santos Dumont e associado a historia da aviacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;contradicted;unsupported;contradicted;unsupported;
pt_br_amazonia_partially_unsupported_015;pt_br_amazonia_partially_unsupported_015_c2;A Amazonia fica somente no Rio Grande do Sul;A Amazonia abrange uma grande area de floresta tropical. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;unsupported;unsupported;contradicted;contradicted;
pt_br_ibge_partially_unsupported_006;pt_br_ibge_partially_unsupported_006_c2;O IBGE publica previsoes astrologicas;O IBGE produz estatisticas oficiais sobre a populacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;unsupported;unsupported;contradicted;contradicted;
pt_br_independencia_partially_unsupported_013;pt_br_independencia_partially_unsupported_013_c2;A independencia do Brasil ocorreu na Antartida;A independencia do Brasil foi proclamada em 1822. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;unsupported;unsupported;contradicted;unsupported;
pt_br_santos_dumont_partially_unsupported_009;pt_br_santos_dumont_partially_unsupported_009_c2;Santos Dumont inventou a internet;Santos Dumont e associado a historia da aviacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;unsupported;unsupported;contradicted;unsupported;
pt_br_tse_partially_unsupported_018;pt_br_tse_partially_unsupported_018_c2;O Tribunal Superior Eleitoral e uma escola de medicina;O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;unsupported;unsupported;contradicted;contradicted;
;;;;;;;;
